name,pick_1,pick_2,pick_3,pick_4
NW,5,6,0,3
NX,8,3,7,10
NY,9,3,1,6
NZ,0,4,10,3
OA,4,6,4,2
OB,5,9,9,5
OC,2,4,3,3
OD,5,10,9,10
OE,10,4,3,9
OF,1,8,9,3
OG,4,4,4,2
OH,8,5,8,3
OI,7,10,3,5
OJ,7,1,5,4
OK,9,5,9,7
OL,1,7,1,8
OM,5,3,8,6
ON,3,5,5,8
OO,4,6,4,2
OP,4,9,1,2
OQ,1,6,7,2
OR,7,5,9,6
OS,0,8,2,9
OT,3,0,7,2
OU,9,1,9,9
OV,1,6,6,4
OW,10,5,1,8
OX,7,5,7,5
OY,8,0,1,7
OZ,7,9,10,10
PA,3,2,10,8
PB,1,8,7,2
PC,3,0,6,0
PD,5,10,0,8
PE,8,9,2,4
PF,4,0,6,10
PG,3,5,2,8
PH,1,9,0,2
PI,6,10,4,2
PJ,3,8,7,1
PK,8,4,10,10
PL,4,0,9,6
PM,4,0,5,3
PN,5,4,8,8
PO,1,4,3,8
PP,7,6,9,10
PQ,9,5,4,8
PR,7,3,2,9
PS,7,6,3,0
PT,9,6,8,2
PU,10,8,6,0
PV,4,7,0,10
PW,2,0,7,9
PX,1,7,10,4
PY,10,7,8,4
PZ,0,1,0,1
QA,4,1,2,5
QB,8,5,5,4
QC,0,4,6,10
QD,3,5,9,10
QE,1,8,4,2
QF,0,6,8,7
QG,2,10,3,9
QH,0,3,4,4
QI,2,8,8,4
QJ,2,4,9,3
QK,4,3,7,9
QL,8,4,3,3
QM,3,5,6,8
QN,6,2,2,6
QO,6,2,8,4
QP,4,4,0,4
QQ,8,4,9,9
QR,3,1,8,0
QS,6,3,5,3
QT,10,3,9,5
QU,3,4,8,3
QV,3,9,5,6
QW,7,2,9,5
QX,5,10,1,10
QY,5,5,2,3
QZ,7,8,7,6
RA,10,2,4,2
RB,4,9,9,4
RC,4,1,7,5
RD,3,2,7,2
RE,4,8,9,9
RF,6,0,5,10
RG,10,7,9,7
RH,5,10,2,4
RI,9,1,10,3
RJ,10,1,7,9
RK,10,7,3,8
RL,4,7,5,5
RM,4,7,9,7
RN,2,8,1,6
RO,7,2,6,1
RP,3,9,10,2
RQ,9,8,2,3
RR,3,5,9,8
RS,8,3,1,7
RT,8,5,1,7
RU,0,1,6,7
RV,3,1,6,0
RW,7,2,2,5
RX,8,6,7,6
RY,0,6,9,9
RZ,2,1,5,7
SA,5,1,9,9
SB,9,7,8,10
SC,4,2,7,10
SD,4,7,10,3
SE,7,3,5,1
SF,4,7,10,3
SG,9,2,1,6
SH,7,2,5,8
SI,8,9,6,4
SJ,4,6,8,3
SK,10,2,3,0
SL,3,10,5,7
SM,3,7,6,8
SN,3,7,4,0
SO,9,6,4,5
SP,0,4,2,2
SQ,8,3,7,2
SR,1,10,9,5
SS,1,3,7,9
ST,0,2,8,1
SU,8,5,5,6
SV,4,4,9,2
SW,9,7,4,9
SX,7,9,9,4
SY,6,2,4,4
SZ,3,6,9,10
TA,4,1,6,8
TB,0,4,9,9
TC,2,8,2,10
TD,0,2,0,4
TE,5,4,1,7
